1850.01.11_NewcastleCourant_0002
1850.01.11_NewcastleCourant_0003
1850.01.11_NewcastleCourant_0004
1850.01.11_NewcastleCourant_0005
1850.01.11_NewcastleCourant_0007
1850.01.11_NewcastleCourant_0008
