1803.09.08_MorningChronicle_0001
1803.09.08_MorningChronicle_0002
1803.09.08_MorningChronicle_0003
1803.09.08_MorningChronicle_0004
1803.09.08_Trewman'sExeterFlyingPost_0001
1803.09.08_Trewman'sExeterFlyingPost_0003
1803.09.08_Trewman'sExeterFlyingPost_0004
