1823.02.12_TheDerbyMercury	0.686012
1823.02.19_TheDerbyMercury	0.308388
yMercury
1823.01.22_TheDerbyMercury
1823.01.22_TheDerbyMercury
1823.01.29_TheDerbyMercury
1823.02.05_TheDerbyMercury
